,State,City,Store_type,Address,Latitude,Longitude
0,Wyoming,Bessemer,Target Store - ,"4889 Promenade Pkwy, Bessemer, AL 35022-7305",33.334428,-86.990326
1,Wyoming,Fultondale,Target Store - ,"3489 Lowery Pkwy, Fultondale, AL 35068-1677",33.605595,-86.80623
2,Wyoming,Mobile,Target Store - ,"3150 Bel Air Mall, Mobile, AL 36606-3203",30.671392,-88.12001
3,Wyoming,Oxford,Target Store - ,"400 Oxford Exchange Blvd, Oxford, AL 36203-3459",33.608825,-85.783182
4,Wyoming,Decatur,Target Store - ,"1235 Point Mallard Pkwy SE, Decatur, AL 35601-6531",34.559064,-86.97103
5,Wyoming,Birmingham,Target Store - ,"1654 Gadsden Hwy, Birmingham, AL 35235-3104",33.60526,-86.636743
6,Wyoming,Alabaster,Target Store - ,"250 S Colonial Dr, Alabaster, AL 35007-4657",33.224895,-86.803977
7,Wyoming,Gulf Shores,Target Store - ,"3820 Gulf Shores Pkwy, Gulf Shores, AL 36542-2819",30.303574,-87.680528
8,Wyoming,Dothan,Target Store - ,"4601 Montgomery Hwy, Dothan, AL 36303-1522",31.266492,-85.446808
9,Wyoming,Birmingham,Target Store - ,"5561 Grove Blvd, Birmingham, AL 35226-4600",33.361598,-86.852559
10,Wyoming,Birmingham,Target Store - ,"4616 Highway 280, Birmingham, AL 35242-5028",33.42553,-86.7118
11,Wyoming,Huntsville,Target Store - ,"2750 Carl T Jones Dr SE, Huntsville, AL 35802-4914",34.673498,-86.541632
12,Wyoming,Madison,Target Store - ,"8207 HIGHWAY 72 W, Madison, AL 35758-9571",34.749313,-86.755874
13,Wyoming,Prattville,Target Store - ,"2754 Legends Pkwy, Prattville, AL 36066-7748",32.457557,-86.395508
14,Wyoming,Mobile,Target Store - ,"790 Schillinger Rd S, Mobile, AL 36695-8979",30.67388,-88.2283
15,Wyoming,Florence,Target Store - ,"372 Cox Creek Pkwy, Florence, AL 35630-1540",34.84213,-87.634764
16,Wyoming,Daphne,Target Store - ,"1698 US Highway 98, Daphne, AL 36526-4252",30.603217,-87.896507
17,Wyoming,Huntsville,Target Store - ,"6275 University Dr NW, Huntsville, AL 35806-1776",34.741637,-86.681523
18,Wyoming,Opelika,Target Store - ,"2640 Enterprise Dr, Opelika, AL 36801-1511",32.618108,-85.410636
19,Wyoming,Homewood,Target Store - ,"531 Brookwood Village, Homewood, AL 35209-4501",33.467692,-86.774917
20,Wyoming,Montgomery,Target Store - ,"2576 Berryhill Rd, Montgomery, AL 36117-3564",32.360305,-86.16067
21,Wyoming,Tuscaloosa,Target Store - ,"1901 13th Ave E, Tuscaloosa, AL 35404-4785",33.193104,-87.518672
22,Wyoming,Auburn,Target Store - ,"129 N College St, Auburn, AL 36830-4705",32.607518,-85.482037
23,Wyoming,Anchorage,Target Store - ,"150 W 100th Ave, Anchorage, AK 99515-2673",61.129094,-149.881696
24,Wyoming,Wasilla,Target Store - ,"1801 E Parks Hwy, Wasilla, AK 99654-7350",61.578202,-149.404066
25,Wyoming,Anchorage,Target Store - ,"1200 N Muldoon Rd, Anchorage, AK 99504-6103",61.226817,-149.745678
26,Wyoming,Mesa,Target Store - ,"1525 S Power Rd, Mesa, AZ 85206-3707",33.388909,-111.683474
27,Wyoming,Scottsdale,Target Store - ,"15444 N Frank Lloyd Wright Blvd, Scottsdale, AZ 85260-2845",33.627292,-111.888293
28,Wyoming,Phoenix,Target Store - ,"7409 W Virginia Ave, Phoenix, AZ 85035-1336",33.475425,-112.218617
29,Wyoming,Scottsdale,Target Store - ,"9000 E Talking Stick Way, Scottsdale, AZ 85250-8502",33.54021,-111.887628
30,Wyoming,Tolleson,Target Store - ,"9830 W Lower Buckeye Rd, Tolleson, AZ 85353-9424",33.423059,-112.269381
31,Wyoming,Glendale,Target Store - ,"10404 N 43rd Ave, Glendale, AZ 85302-2019",33.580184,-112.152971
32,Wyoming,Tucson,Target Store - ,"4040 N Oracle Rd, Tucson, AZ 85705-2720",32.27986,-110.977
33,Wyoming,Tucson,Target Store - ,"9615 E Old Spanish Trl, Tucson, AZ 85748-7540",32.207417,-110.786774
34,Wyoming,Phoenix,Target Store - ,"12602 N Paradise Village Pkwy W, Phoenix, AZ 85032-7671",33.600407,-111.989239
35,Wyoming,Surprise,Target Store - ,"13731 W Bell Rd, Surprise, AZ 85374-3871",33.637254,-112.3532
36,Wyoming,Mesa,Target Store - ,"5110 S Power Rd, Mesa, AZ 85212-4201",33.322949,-111.689675
37,Wyoming,Gilbert,Target Store - ,"1515 E Warner Rd, Gilbert, AZ 85296-3138",33.334243,-111.757366
38,Wyoming,Gilbert,Target Store - ,"3931 S Gilbert Rd, Gilbert, AZ 85297-7004",33.27841,-111.786353
39,Wyoming,Bullhead City,Target Store - ,"3699 Hwy 95, Bullhead City, AZ 86442-9119",35.051939,-114.592099
